Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot; time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal -2;-0,1202301;1,11987;-0,1314132;1,120878;1,086949;1,228821;False;;;
2;Devation goal 2;0,1237831;1,11939;0,1254319;1,122895;1,013474;1,004145;False;;;
3;Devation goal -3;-0,1570979;1,107614;-0,1568263;1,110815;0,9893713;1,160204;False;;;
4;Devation goal 4;0,1983959;1,087434;0,2118181;1,091041;1,05145;1,27132;False;;;
5;Devation goal -4;-0,1944941;1,091125;-0,1959124;1,093855;1,001224;1,1731;False;;;
6;Devation goal 4;0,1983959;1,087434;0,1979848;1,099316;0,9750885;1,235126;False;;;
7;Devation goal -2;-0,1202301;1,11987;-0,1147573;1,117927;0,9636633;0,9893074;False;;;
8;Devation goal 1;0,08436957;1,136507;0,08287193;1,130706;1,002738;0,9354744;False;;;
9;Devation goal 2;0,1237831;1,11939;0,1229206;1,124634;0,9891018;0,9972496;False;;;
10;Devation goal 1;0,08436957;1,136507;0,0924813;1,129395;1,118763;0,909996;False;;;
11;Devation goal -2;-0,1202301;1,11987;-0,1209104;1,120474;1,012363;1,073681;False;;;
12;Devation goal 4;0,1983959;1,087434;0,1803005;1,101583;0,8948535;1,247993;False;;;
13;Devation goal -2;-0,1202301;1,11987;-0,1159353;1,118051;0,9730251;1,060047;False;;;
14;Devation goal 2;0,1237831;1,11939;0,1307418;1,119987;1,067323;1,114601;False;;;
15;Devation goal 1;0,08436957;1,136507;0,09229815;1,127408;1,122776;0,8817253;False;;;
16;Devation goal 2;0,1237831;1,11939;0,1260853;1,120641;1,023814;1,106899;False;;;
17;Devation goal -4;-0,1944941;1,091125;-0,1998491;1,088103;1,024379;1,327763;False;;;
18;Devation goal 2;0,1237831;1,11939;0,1167186;1,123579;0,9455886;1,003448;False;;;
19;Devation goal 1;0,08436957;1,136507;0,08714391;1,128326;1,059681;0,8679581;False;;;
20;Devation goal 2;0,1237831;1,11939;0,1271529;1,120792;1,031607;1,208229;False;;;
21;Devation goal -4;-0,1944941;1,091125;-0,2025143;1,090232;1,031391;1,392166;False;;;
22;Devation goal 3;0,1601159;1,105628;0,1725493;1,109931;1,068153;1,181061;False;;;
23;Devation goal -2;-0,1202301;1,11987;-0,1329307;1,118879;1,10424;1,1017;False;;;
24;Devation goal -3;-0,1570979;1,107614;-0,1600195;1,106635;1,018153;1,211845;False;;;
25;Devation goal 3;0,1601159;1,105628;0,1683835;1,110047;1,039192;1,221443;False;;;
26;Devation goal 0;0;1,137307;0,1683835;1,110047;0;0,000579834;False;;;
27;Devation goal 3;0,1601159;1,105628;0,1661701;1,111784;1,023748;1,307861;False;;;
28;Devation goal 0;0;1,137307;0,1661701;1,111784;0;0,01750946;False;;;
29;Devation goal -2;-0,1202301;1,11987;-0,0838069;1,128003;1,320358;2,004601;True;Devation goal -3;-0,1570979;1,107614
30;Devation goal 0;0;1,137307;-0,0838069;1,128003;0;0,01234436;False;;;
